	Indicator_1_1	Evo_1_1	Year_1_1	Indicator_1_2	Evo_1_2	Year_1_2	Indicator_1_3	Evo_1_3	Year_1_3	Indicator_1_4	Evo_1_4	Year_1_4	Indicator_1_5	Evo_1_5	Year_1_5	Indicator_1_6	Evo_1_6	Year_1_6	Indicator_1_7	Evo_1_7	Year_1_7	Indicator_2_1	Evo_2_1	Year_2_1	Indicator_2_2	Evo_2_2	Year_2_2	Indicator_2_3	Evo_2_3	Year_2_3	Indicator_2_4	Evo_2_4	Year_2_4	Indicator_2_5	Evo_2_5	Year_2_5	Indicator_2_6	Year_2_6	Indicator_2_7	Evo_2_7	Year_2_7	Indicator_3_1	Year_3_1	Indicator_3_2	Year_3_2	Indicator_3_3	Evo_3_3	Year_3_3	Indicator_3_4	Evo_3_4	Year_3_4	Indicator_3_5	Year_3_5	Indicator_3_6	Year_3_6	Indicator_4_1	Evo_4_1	Year_4_1	Indicator_4_2	Evo_4_2	Year_4_2	Indicator_4_3	Evo_4_3	Year_4_3
OECD	0.01312	-0.00430	2011-2017	0.0147	0.0255	2011-latest	5.40258	-0.01660	2016	0.0245	-0.011	latest	80.64	0.93	latest	378.0984	-19.2403	latest	0.1183	0.0039	2016 or latest	0.0115	-0.0152	2011-2017 or latest	57.43	1.44	2016	3.3336	-0.096382165	2017	13.55523	-1.182826403	2017 or latest	4.15531	0.096968659	2017	0.2478	2016	46.309	1.31	2017 or latest	12.9466	2015	0.3837	Late 2000's	33.70	5.59	2016 or latest	13.33732	-2.527567911	2017	0.26616	2015	0.29013	2015	0.4177	-0.0298	2016	68.274	-0.052	2018	0.294	0.045	2018
AUS	0.00914	-0.01250	2011-2017	0.0114	0.004	2011-latest	5.48612	-0.03500	2016	0.0489	-0.0019	latest	82.50	0.5	latest	199.6141	-24.0249	latest	0.1210	-0.019	2016 or latest	0.0133	0.0043	2011-2017 or latest	61.10	-1.00	2016	3.3248	-0.053846788	2016	14.28631	-1.680076	2017 or latest	9.10705	1.749191262	2017	0.2818	2016	30.900	-1.92	2017 or latest	11.6884	2015	0.3500	Late 2000's	39.00	1	2016 or latest	10.94613	-0.570387	2017	0.21531	2015	0.32937	2015	0.4500	-0.08	2016	91.010	-2.21	2018	0.287	0.04	2018
AUT	0.00385	-0.01390	2011-2017	-0.0004	-0.0106	2011-latest	4.46798	0.11200	2016	0.0101	0.0029	latest	81.70	0.6	latest	401.4180	-46.743	latest	0.0977	0.0067	2016 or latest	0.0075	-0.0128	2011-2017 or latest	57.50	-0.20	2016	3.2711	-0.07241193	2016	15.67090	-2.879654475	2017 or latest	3.40569	0.95044406	2017	0.1705	2016	 		2017 or latest	15.8931	2015	0.4790	Late 2000's	20.20	7.7	2016 or latest	10.80680	0.541502	2017	0.19092	2015	0.25892	2015	0.4300	-0.07	2016	80.000		2017	0.344	0.065	2018
BEL	0.00562	-0.01060	2011-2017	0.0146	0.012	2011-latest	3.93067	-0.10330	2016	0.0568	0.009	latest	81.50	0.8	latest	442.6565	-68.8816	latest	0.0971	0	2016 or latest	0.0053	-0.0114	2011-2017 or latest	48.90	-0.50	2016	2.4098	-0.03747353	2016	3.70130	-2.136810181	2017 or latest	1.87633	-0.642922835	2017	0.2846	2016	67.050	1.98	2017 or latest	19.2576	2015	0.3460	Late 2000's	59.80		2016 or latest	13.24101	-0.652244	2017		2015	0.27208	2015	0.4200	-0.18	2016	89.370	0.15	2017	0.380	-0.013	2018
CAN	0.00960	-0.00540	2011-2017	0.0116	-0.0052	2011-latest	5.06391	-0.17820	2016	0.0336	0.0011	latest	81.90	0.6	latest	216.7248	-45.1493	latest	0.1245	-0.0062	2016 or latest	0.0096	-0.0003	2011-2017 or latest	61.10	-0.60	2016	3.6053	-0.065563179	2017	18.17322	-1.002309525	2017 or latest	4.63167	-0.609487512	2017	0.3050	2016	12.450	-5.26	2017 or latest	8.7690	2015	0.3200	Late 2000's	 		2016 or latest	12.15008	-1.2227	2017	0.25124	2015	0.38710	2015	0.6200	-0.02	2016	68.280	7.17	2015	0.270	0.023	2018
CHE	0.00535	-0.01000	2011-2017			2011-latest	4.49326	0.04720	2015			latest	83.70	0.9	latest	274.5329	-63.6121	latest	0.0908	-0.0139	2016 or latest	0.0071	-0.0065	2011-2017 or latest	65.20	0.70	2016	2.6546	-0.206534106	2016	14.76237	-4.936188825	2017 or latest	3.00839	0.636987772	2017	0.2340	2016	76.690	-1.83	2017 or latest	15.6090	2015	0.4550	Late 2000's	38.00	4.8	2016 or latest	8.40021	-2.3029428	2017		2015	0.29069	2015	0.8000	0.17	2016	48.510	-0.99	2016	0.325	0.04	2018
CHL	0.01494	-0.02330	2011-2017	0.0574	0.0574	2011-latest	10.03382	-1.21720	2015	-0.0001	-0.0119	latest	79.90	1.2	latest	279.3115	10.2073	latest	0.1610	-0.023	2016 or latest	0.0177	-0.015	2011-2017 or latest	55.60	0.10	2016	3.6053	-0.769654088	2015	21.05263	5.052631579	2017 or latest	9.85691	-1.265919255	2017		2016	20.670	2.94	2017 or latest	16.8946	2015	0.5320	Late 2000's	19.80		2016 or latest	17.97114	-3.783537	2015	0.67064	2015	0.14624	2015	0.2035	-0.2265	2016	46.530		2016	0.226	0.084	2018
CZE	0.02071	-0.02420	2011-2017	0.0132	0.0082	2011-latest	3.55540	-0.10560	2016			latest	79.10	1.1	latest	597.3104	-30.2546	latest	0.0559	-0.0032	2016 or latest	0.0143	-0.0287	2011-2017 or latest	57.60	3.20	2016	3.4537	-0.057391147	2017	16.02343	-0.30622586	2017 or latest	0.79836	-0.301168299	2017	0.1800	2016	70.030	-0.7	2017 or latest	18.8209	2015		Late 2000's	6.80		2016 or latest	10.90666	-1.842209	2017	0.16915	2015	0.24928	2015	0.4200	0.15	2016	60.840	-1.76	2015	0.220	0	2018
DEU	0.01053	-0.00420	2011-2017	0.0127	0.0146	2011-latest	4.53576	0.15690	2015	0.0054	-0.0032	latest	81.10	0.6	latest	512.2252	-21.1592	latest	0.1011	0.0144	2016 or latest	0.0089	-0.0045	2011-2017 or latest	58.40	1.80	2016	3.3333	-0.15	2016	15.51072	-1.433725655	2017 or latest	2.96701	-1.066800214	2017	0.1626	2016	 		2017 or latest	15.8392	2015	0.5514	Late 2000's	37.30	10.5	2016 or latest	9.34323	-1.6557118	2017	0.22577	2015	0.33507	2015	0.5500	0.2	2016	76.150		2015	0.307	-0.021	2018
DNK	0.01040	-0.00270	2011-2017	0.0004		2011-latest	3.72568	0.17170	2015	-0.0865		latest	80.90	1	latest	419.2939	-58.8493	latest	0.0549	-0.0031	2016 or latest	0.0123	-0.0019	2011-2017 or latest	59.60	0.50	2016	2.5659	0.054227408	2016	6.32387	-1.623331559	2017 or latest	3.48384	-0.545471206	2017	0.4161	2016	 		2017 or latest	10.4222	2015	0.1210	Late 2000's	61.80		2016 or latest	11.76426	0.781798	2017	0.19097	2015	0.27509	2015	0.4700	-0.12	2016	85.890	-1.85	2014	0.374	-0.017	2018
ESP	0.01131	-0.00820	2011-2017	-0.0134	0.0232	2011-latest	6.49015	0.15240	2016	0.0692	0	latest	83.40	0.8	latest	369.5181	-5.9221	latest	0.1554	0.0089	2016 or latest	0.0096	0.0048	2011-2017 or latest	47.60	0.20	2016	3.1241	0.025335287	2014	11.54050	-1.963966668	2017 or latest	9.28245	1.335172649	2017	0.1834	2016	50.100		2017 or latest	13.3802	2015	0.2800	Late 2000's	34.80	8.5	2016 or latest	19.86980	-4.443423	2017	0.35663	2015	0.39180	2015	0.3000	-0.18	2016	69.840	0.9	2016	0.391	0.031	2018
EST	0.03407	-0.04880	2011-2017			2011-latest	5.34273	-0.16630	2016	0.0377		latest	77.80	1.4	latest	259.1487	-68.529	latest	0.1570	0.0423	2016 or latest	0.0218	-0.0383	2011-2017 or latest	65.90	6.50	2016	3.7850	-0.268402102	2014	28.33935	0.541516246	2017 or latest	0.76752	-1.288196464	2017	0.2284	2016	26.150	-2.13	2017 or latest	7.8479	2015		Late 2000's	28.50	5.7	2016 or latest	11.75109	-3.403377	2017	0.18216	2015	0.48283	2015	0.3398	-0.0802	2016	64.230	0.7	2015	0.267	0.069	2018
FIN	0.00052	-0.02800	2011-2017	-0.0017	-0.0169	2011-latest	3.68097	-0.13620	2016	0.0218		latest	81.50	0.9	latest	202.4156	-54.8395	latest	0.0576	-0.0174	2016 or latest	0.0055	-0.0179	2011-2017 or latest	60.00	-1.50	2016	2.5029	-0.081337135	2016	16.47226	-2.135358725	2017 or latest	4.16022	0.850223097	2017	0.5692	2016	 		2017 or latest	10.0078	2015	0.1890	Late 2000's	30.50	3.9	2016 or latest	12.60504	0.848218	2017	0.15392	2015	0.42758	2015	0.4900	-0.27	2016	66.760	-2.1	2015	0.420	-0.005	2018
FRA	0.00596	-0.00580	2011-2017	-0.0021	0.0019	2011-latest	4.34087	-0.32390	2016	0.0268		latest	82.40	0.1	latest	295.0808	-36.7015	latest	0.0826	0.0026	2016 or latest	0.0080	-0.0045	2011-2017 or latest	50.60	-0.70	2016	2.8067	0.000176417	2014	9.87210	-17.92573162	2017 or latest	7.86201	2.700308918	2017	0.1711	2016	20.450	-0.32	2017 or latest	20.3476	2015	0.5300	Late 2000's	56.70	5.7	2016 or latest	16.54670	0.139201	2017	0.31458	2015	0.26650	2015	0.2800	-0.08	2016	74.560	-5.79	2015	0.396	0.207	2018
GBR	0.01330	-0.00830	2011-2017	0.0122	0.0275	2011-latest	6.00374	0.10710	2016	0.0328	-0.0093	latest	81.20	0.2	latest	374.8713	-38.6266	latest	0.1110	0.0072	2016 or latest	0.0029	-0.0175	2011-2017 or latest	60.40	2.40	2016	3.4243	-0.19086303	2017	17.38274	-0.863262632	2017 or latest	3.46607	-1.198284366	2017	0.3467	2016	35.510	-1.99	2017 or latest	10.5350	2015	0.4390	Late 2000's	31.50	-7.6	2016 or latest	12.19137	-3.310117	2017		2015	0.35440	2015	0.4100	0.05	2016	68.930	3.16	2017	0.322	0.102	2018
GRC	-0.01027	-0.04750	2011-2017	-0.0420	0.0596	2011-latest	6.00676	-0.15060	2016	0.0525		latest	81.50	0.7	latest	628.8740	34.8148	latest	0.1438	-0.0068	2016 or latest	-0.0068	-0.0288	2011-2017 or latest	39.80	-3.50	2016	3.2670	0.258869919	2016	4.48505	-6.22923588	2017 or latest	6.64897	2.786435804	2017	0.0922	2016	54.390	17.55	2017 or latest	12.5428	2015	0.3160	Late 2000's	11.50	0.2	2016 or latest	22.75212	1.157251	2017	0.35538	2015	0.18072	2015	0.1300	-0.25	2016	63.940	1.47	2017	0.187	0.014	2018
HUN	0.02738	-0.01180	2011-2017	0.0635	0.0889	2011-latest	4.46792	-0.06420	2014	0.0502		latest	76.20	1.2	latest	649.1384	-74.5902	latest	0.1010	-0.0023	2016 or latest	0.0044	-0.0349	2011-2017 or latest	58.00	8.90	2016	3.7300	-0.369819149	2016	9.36432	2.500411855	2017 or latest	1.15122	-1.391992579	2017	0.1219	2016	69.000	15	2017 or latest	21.3971	2015	0.6210	Late 2000's	16.70	7.1	2016 or latest	14.01592	-4.515086	2017		2015	0.19323	2015	0.3000	0.05	2016	69.670	5.29	2017	0.126	0.035	2018
IRL	0.06925	0.03580	2011-2017	0.0317	0.0982	2011-latest	4.51829	-0.33660	2015	-0.0206		latest	81.80	1	latest	232.5816	-13.0795	latest	0.0976	-0.0024	2016 or latest	0.0480	0.0232	2011-2017 or latest	55.30	3.60	2016	3.7870	-0.125864881	2016	10.61174	0.16488278	2017 or latest	4.70322	-3.343975107	2017	0.3608	2016	57.040	-10.78	2017 or latest	12.6696	2015	0.3950	Late 2000's	16.60		2016 or latest	13.10540	-8.817469	2017	0.27744	2015	0.29588	2015	0.5700	-0.06	2016	65.090	-4.81	2015	0.222	0.071	2018
ISL	0.02601	-0.00960	2011-2017	0.0192	0.0937	2011-latest	3.61472	0.03050	2015			latest	82.30	-0.1	latest	175.9083	-21.8774	latest	0.0541	-0.0036	2016 or latest	0.0126	-0.0316	2011-2017 or latest	81.10	6.40	2016	2.9858	0.106697111	2015	9.93140	-4.148409474	2017 or latest	3.04186	-1.92017333	2017	0.4313	2016	 		2017 or latest	4.9224	2015		Late 2000's	59.70	4.9	2016 or latest	4.90179	-4.8527942	2017	0.36309	2015	0.17005	2015	0.3600	0.12	2016	79.180		2015	0.381	-0.048	2018
